Date;Description;Compte;Montant;Catégorie;Sous-Catégorie;Note;Pointée
"09/02/2023";"CB Badgers";"Carte Visa Ultim - Mr Paul Bourhis";"-10.5";"Loisirs & Sorties";"Bars / Clubs";"";"Non"
"09/02/2023";"CB Badgers";"Carte Visa Ultim - Mr Paul Bourhis";"-12.5";"Loisirs & Sorties";"Bars / Clubs";"";"Non"
"08/02/2023";"CB Intermarche";"Carte Visa Ultim - Mr Paul Bourhis";"-29.71";"Alimentation & Restau.";"Supermarché / Epicerie";"";"Non"
"06/02/2023";"CB Bar Fondamental";"Carte Visa Ultim - Mr Paul Bourhis";"-15.5";"Loisirs & Sorties";"Bars / Clubs";"";"Non"
"06/02/2023";"CB Bar Fondamental";"Carte Visa Ultim - Mr Paul Bourhis";"-24.5";"Loisirs & Sorties";"Bars / Clubs";"";"Non"
"03/02/2023";"CB Carte Ticket Restaurant";"Carte Visa Ultim - Mr Paul Bourhis";"-3.49";"Alimentation & Restau.";"Restaurants";"";"Non"
"03/02/2023";"CB Lusso";"Carte Visa Ultim - Mr Paul Bourhis";"-9.69";"Alimentation & Restau.";"Supermarché / Epicerie";"";"Non"
"03/02/2023";"CB Deliveroo";"Carte Visa Ultim - Mr Paul Bourhis";"-2.46";"Alimentation & Restau.";"Fast foods";"";"Non"
"02/02/2023";"CB Intermarche";"Carte Visa Ultim - Mr Paul Bourhis";"-13.74";"Alimentation & Restau.";"Supermarché / Epicerie";"";"Non"
"02/02/2023";"CB Italia Bella";"Carte Visa Ultim - Mr Paul Bourhis";"-9.77";"Alimentation & Restau.";"Supermarché / Epicerie";"";"Non"
"01/02/2023";"CB Sncf Internet";"Carte Visa Ultim - Mr Paul Bourhis";"-158.0";"Auto & Transports";"Billets de train";"";"Non"
"31/01/2023";"CB Intermarche";"Carte Visa Ultim - Mr Paul Bourhis";"-3.45";"Alimentation & Restau.";"Supermarché / Epicerie";"";"Non"
"30/01/2023";"CB Nutripure";"Carte Visa Ultim - Mr Paul Bourhis";"-41.07";"Santé";"Santé - Autres";"";"Non"
"29/01/2023";"CB Intermarche";"Carte Visa Ultim - Mr Paul Bourhis";"-29.61";"Alimentation & Restau.";"Supermarché / Epicerie";"";"Non"
"28/01/2023";"Avoir Amazon Payments";"Carte Visa Ultim - Mr Paul Bourhis";"48.51";"Entrées d'argent";"Remboursements";"";"Non"
"28/01/2023";"CB La Felicita";"Carte Visa Ultim - Mr Paul Bourhis";"-7.5";"Loisirs & Sorties";"Sortie au restaurant";"";"Non"
"27/01/2023";"Carte";"Carte Visa Ultim - Mr Paul Bourhis";"-26.25";"Achats & Shopping";"Cadeaux";"";"Non"
"26/01/2023";"CB Sm Casino";"Carte Visa Ultim - Mr Paul Bourhis";"-6.08";"Alimentation & Restau.";"Supermarché / Epicerie";"";"Non"
"26/01/2023";"CB Intermarche";"Carte Visa Ultim - Mr Paul Bourhis";"-11.78";"Alimentation & Restau.";"Supermarché / Epicerie";"";"Non"
"25/01/2023";"CB Bomaye Burger";"Carte Visa Ultim - Mr Paul Bourhis";"-22.9";"Alimentation & Restau.";"Fast foods";"";"Non"
"24/01/2023";"CB Newrest Wagons Lits Franc";"Carte Visa Ultim - Mr Paul Bourhis";"-9.1";"Loisirs & Sorties";"Voyages / Vacances";"";"Non"
"24/01/2023";"CB Deliveroo";"Carte Visa Ultim - Mr Paul Bourhis";"-2.98";"Alimentation & Restau.";"Restaurants";"";"Non"
"22/01/2023";"CB Cafe Latitude";"Carte Visa Ultim - Mr Paul Bourhis";"-6.6";"Alimentation & Restau.";"Café";"";"Non"
"22/01/2023";"CB Deliveroo";"Carte Visa Ultim - Mr Paul Bourhis";"-51.84";"Alimentation & Restau.";"Fast foods";"";"Non"
"21/01/2023";"CB Waffle Factory";"Carte Visa Ultim - Mr Paul Bourhis";"-11.2";"Alimentation & Restau.";"Fast foods";"";"Non"
"21/01/2023";"CB L'entrecote";"Carte Visa Ultim - Mr Paul Bourhis";"-33.9";"Loisirs & Sorties";"Sortie au restaurant";"";"Non"
"19/01/2023";"CB Geant";"Carte Visa Ultim - Mr Paul Bourhis";"-33.5";"Alimentation & Restau.";"Supermarché / Epicerie";"";"Non"
"18/01/2023";"CB Relay";"Carte Visa Ultim - Mr Paul Bourhis";"-7.5";"Alimentation & Restau.";"Alimentation - Autres";"";"Non"
"18/01/2023";"CB Newrest Wagons Lits Franc";"Carte Visa Ultim - Mr Paul Bourhis";"-6.2";"Loisirs & Sorties";"Voyages / Vacances";"";"Non"
"17/01/2023";"CB Le Bouillon";"Carte Visa Ultim - Mr Paul Bourhis";"-34.17";"Loisirs & Sorties";"Sortie au restaurant";"";"Non"
"17/01/2023";"CB Bmc";"Carte Visa Ultim - Mr Paul Bourhis";"-6.5";"Alimentation & Restau.";"Restaurants";"";"Non"
"16/01/2023";"CB La Favorite";"Carte Visa Ultim - Mr Paul Bourhis";"-24.0";"Loisirs & Sorties";"Bars / Clubs";"";"Non"
"15/01/2023";"CB La Felicita";"Carte Visa Ultim - Mr Paul Bourhis";"-19.0";"Alimentation & Restau.";"Restaurants";"";"Non"
"15/01/2023";"Carte";"Carte Visa Ultim - Mr Paul Bourhis";"-32.87";"Auto & Transports";"Carburant";"";"Non"
"14/01/2023";"CB Mme Sarfati";"Carte Visa Ultim - Mr Paul Bourhis";"-6.5";"Loisirs & Sorties";"Bars / Clubs";"";"Non"
"14/01/2023";"CB Sc.the Playce H";"Carte Visa Ultim - Mr Paul Bourhis";"-19.5";"Loisirs & Sorties";"Bars / Clubs";"";"Non"
"14/01/2023";"CB Intermarche";"Carte Visa Ultim - Mr Paul Bourhis";"-6.03";"Alimentation & Restau.";"Supermarché / Epicerie";"";"Non"
"13/01/2023";"CB Rest Baan Thai";"Carte Visa Ultim - Mr Paul Bourhis";"-27.2";"Alimentation & Restau.";"Restaurants";"";"Non"
"13/01/2023";"CB Montparnasse";"Carte Visa Ultim - Mr Paul Bourhis";"-36.0";"Santé";"Santé - Autres";"";"Non"
"12/01/2023";"Intermarche\clichy\ Fr";"Carte Visa Ultim - Mr Paul Bourhis";"-6.16";"Alimentation & Restau.";"Supermarché / Epicerie";"";"Non"
"11/01/2023";"CB Intermarche";"Carte Visa Ultim - Mr Paul Bourhis";"-57.33";"Alimentation & Restau.";"Supermarché / Epicerie";"";"Non"
"11/01/2023";"CB Italia Bella";"Carte Visa Ultim - Mr Paul Bourhis";"-17.81";"Achats & Shopping";"Cadeaux";"";"Non"
"08/01/2023";"CB Lecentquatre";"Carte Visa Ultim - Mr Paul Bourhis";"-30.0";"Achats & Shopping";"Cadeaux";"";"Non"
"08/01/2023";"CB Intermarche";"Carte Visa Ultim - Mr Paul Bourhis";"-26.06";"Alimentation & Restau.";"Supermarché / Epicerie";"";"Non"
"07/01/2023";"CB Ikea";"Carte Visa Ultim - Mr Paul Bourhis";"-34.97";"Achats & Shopping";"Achats & Shopping - Autres";"";"Non"
"06/01/2023";"CB Deliveroo";"Carte Visa Ultim - Mr Paul Bourhis";"-2.46";"Alimentation & Restau.";"Fast foods";"";"Non"
"06/01/2023";"CB Intermarche";"Carte Visa Ultim - Mr Paul Bourhis";"-10.38";"Alimentation & Restau.";"Supermarché / Epicerie";"";"Non"
"04/01/2023";"CB Sc Bierescultes";"Carte Visa Ultim - Mr Paul Bourhis";"-9.5";"Loisirs & Sorties";"Bars / Clubs";"";"Non"
"04/01/2023";"CB Carrefour City";"Carte Visa Ultim - Mr Paul Bourhis";"-4.32";"Alimentation & Restau.";"Supermarché / Epicerie";"";"Non"
"02/01/2023";"CB Rituals Cosmetics Fran";"Carte Visa Ultim - Mr Paul Bourhis";"-13.9";"Achats & Shopping";"Cadeaux";"";"Non"
"01/01/2023";"CB Amazon Payments";"Carte Visa Ultim - Mr Paul Bourhis";"-48.51";"Achats & Shopping";"Achats & Shopping - Autres";"";"Non"
"01/01/2023";"CB Ucpa Val D Is";"Carte Visa Ultim - Mr Paul Bourhis";"-1.0";"Loisirs & Sorties";"Voyages / Vacances";"";"Non"
"01/01/2023";"CB Total";"Carte Visa Ultim - Mr Paul Bourhis";"-7.4";"Auto & Transports";"Carburant";"";"Non"
"01/01/2023";"CB Amazon Prime Fr";"Carte Visa Ultim - Mr Paul Bourhis";"-69.9";"Achats & Shopping";"Achats & Shopping - Autres";"";"Non"
"05/07/2023";"Vir Virement Interne Depuis Livret D Eveloppement Durab Bourhis Paul";"M Bourhis Paul";"3000.0";"Entrées d'argent";"Virements internes";"";"Non"
"05/07/2023";"Vir Sepa Bourhis Paul Virement Interne Depuis Boursorama Réf";"M Bourhis Paul";"-3000.0";"Retraits, Chq. et Vir.";"Virements internes";"";"Non"
"05/07/2023";"Vir Sepa Bourhis Paul R}f";"M Bourhis Paul";"1500.0";"Entrées d'argent";"Virements internes";"";"Non"
"03/07/2023";"Relevé Différé";"M Bourhis Paul";"-826.83";"Banque";"Débit mensuel carte";"";"Non"
"20/06/2023";"Retrait Dab Colombes";"M Bourhis Paul";"-40.0";"Retraits, Chq. et Vir.";"Retraits";"";"Non"
"05/06/2023";"Retrait Dab Vannes";"M Bourhis Paul";"-300.0";"Retraits, Chq. et Vir.";"Retraits";"";"Non"
"01/06/2023";"Relevé Différé";"M Bourhis Paul";"-1210.46";"Banque";"Débit mensuel carte";"";"Non"
"01/06/2023";"Relevé Différé";"M Bourhis Paul";"27.99";"Entrées d'argent";"Remboursements";"";"Non"
"30/05/2023";"Vir Sepa Bourhis Paul R}f";"M Bourhis Paul";"2000.0";"Entrées d'argent";"Virements internes";"";"Non"
"23/05/2023";"Vir Inst Claire Payre";"M Bourhis Paul";"-41.04";"Loisirs & Sorties";"Loisirs & Sorties - Autres";"";"Non"
"09/05/2023";"Retrait Dab La Grande M";"M Bourhis Paul";"-50.0";"Retraits, Chq. et Vir.";"Retraits";"";"Non"
"02/05/2023";"Relevé Différé";"M Bourhis Paul";"-845.84";"Banque";"Débit mensuel carte";"";"Non"
"30/04/2023";"Vir Vitre Tel Turbopipe";"M Bourhis Paul";"100.0";"Entrées d'argent";"Autres rentrées";"";"Non"
"11/04/2023";"Vir Virement Interne Depuis Boursorama M Bourhis Paul Réf";"M Bourhis Paul";"-900.0";"Retraits, Chq. et Vir.";"Virements internes";"";"Non"
"11/04/2023";"Vir Sepa Bourhis Paul Réf";"M Bourhis Paul";"1000.0";"Entrées d'argent";"Virements internes";"";"Non"
"06/04/2023";"Vir Sepa Bourhis Paul Réf";"M Bourhis Paul";"3000.0";"Entrées d'argent";"Virements internes";"";"Non"
"03/04/2023";"Relevé Différé";"M Bourhis Paul";"-1244.74";"Banque";"Débit mensuel carte";"";"Non"
"03/04/2023";"Relevé Différé";"M Bourhis Paul";"150.0";"Entrées d'argent";"Remboursements";"";"Non"
"07/03/2023";"Vir Sepa Sncf Mobilites Voyages Rmbt Virement Ehg Sncf Dossier n Réf";"M Bourhis Paul";"19.8";"Entrées d'argent";"Autres rentrées";"";"Non"
"01/03/2023";"Vir Virement Interne Depuis Boursorama M Bourhis Paul Réf";"M Bourhis Paul";"-1579.79";"Retraits, Chq. et Vir.";"Virements internes";"";"Non"
"01/03/2023";"Vir Sepa Bourhis Paul Réf";"M Bourhis Paul";"3000.0";"Entrées d'argent";"Virements internes";"";"Non"
"01/03/2023";"Relevé Différé";"M Bourhis Paul";"-1091.06";"Banque";"Débit mensuel carte";"";"Non"
"01/03/2023";"Relevé Différé";"M Bourhis Paul";"48.51";"Entrées d'argent";"Remboursements";"";"Non"
"13/02/2023";"Vir Inst Claire Payre Virement De Paul Bourhis";"M Bourhis Paul";"-22.0";"Loisirs & Sorties";"Loisirs & Sorties - Autres";"";"Non"
"07/02/2023";"Vir Virement Interne Depuis Boursorama M Bourhis Paul Réf";"M Bourhis Paul";"-2500.0";"Retraits, Chq. et Vir.";"Virements internes";"";"Non"
"06/02/2023";"Vir Sepa Bourhis Paul Réf";"M Bourhis Paul";"3000.0";"Entrées d'argent";"Virements internes";"";"Non"
"01/02/2023";"Relevé Différé";"M Bourhis Paul";"-850.27";"Banque";"Débit mensuel carte";"";"Non"
"01/02/2023";"Relevé Différé";"M Bourhis Paul";"32.0";"Entrées d'argent";"Autres rentrées";"";"Non"
"20/01/2023";"Vir Sepa Paul Bourhis G Réf Dedommagement Interets Cloture Livret In";"M Bourhis Paul";"1.0";"Entrées d'argent";"Intérêts";"";"Non"
"11/01/2023";"Chq.";"M Bourhis Paul";"-450.0";"Loisirs & Sorties";"Sport";"";"Non"
"02/01/2023";"Vir Sepa Bourhis Paul Equi Réf";"M Bourhis Paul";"2000.0";"Entrées d'argent";"Virements internes";"";"Non"
"02/01/2023";"Relevé Différé";"M Bourhis Paul";"-956.34";"Banque";"Débit mensuel carte";"";"Non"
"02/01/2023";"Relevé Différé";"M Bourhis Paul";"36.7";"Entrées d'argent";"Remboursements";"";"Non"
"05/07/2023";"Vir Virement Interne Depuis Livret Deve";"Livret Developpement Durable Solidaire";"-3000.0";"Retraits, Chq. et Vir.";"Virements internes";"";"Non"
"08/04/2023";"Vir Virement Interne Depuis Boursora";"Livret Developpement Durable Solidaire";"900.0";"Entrées d'argent";"Virements internes";"";"Non"
"01/03/2023";"Vir Virement Interne Depuis Boursora";"Livret Developpement Durable Solidaire";"1579.79";"Entrées d'argent";"Virements internes";"";"Non"
"07/02/2023";"Vir Virement Interne Depuis Boursora";"Livret Developpement Durable Solidaire";"2500.0";"Entrées d'argent";"Virements internes";"";"Non"
